trip_distance,is_weekend,is_holiday,congestion_surcharge_dummy,airport_fee_dummy,duration_sec
4.48,0,0,1,0,1154.0
19.48,0,0,1,1,2099.0
5.9,0,0,1,0,1172.0
1.03,0,0,1,0,403.0
1.64,0,0,1,0,354.0
2.72,0,0,1,0,480.0
17.66,0,0,1,1,1902.0
2.26,0,0,1,0,534.0
18.3,0,0,0,1,2241.0
3.8,0,0,1,0,1322.0
2.4,0,0,1,0,343.0
2.67,0,0,1,0,692.0
6.6,0,0,1,0,1370.0
2.23,0,0,1,0,472.0
2.1,0,0,1,0,604.0
0.8,0,0,1,0,221.0
3.88,0,0,1,0,744.0
2.7,0,0,1,0,692.0
2.52,0,0,1,0,697.0
6.43,0,0,1,0,1208.0
1.0,0,0,1,0,354.0
2.0,0,0,1,0,879.0
10.69,0,0,1,0,2021.0
10.4,0,0,0,1,1369.0
18.68,0,0,1,1,1737.0
6.42,0,0,1,0,908.0
17.72,0,0,0,1,1507.0
10.8,0,0,0,1,768.0
1.1,0,0,1,0,325.0
19.13,0,0,0,1,2146.0
2.88,0,0,1,0,639.0
0.45,0,0,1,0,133.0
16.35,0,0,1,1,1603.0
46.13,0,0,0,1,3047.0
16.23,0,0,0,1,1869.0
2.18,0,0,1,0,492.0
1.9,0,0,1,0,656.0
17.93,0,0,1,1,1708.0
0.54,0,0,1,0,144.0
18.8,0,0,1,0,1468.0
1.52,0,0,1,0,577.0
1.18,0,0,1,0,461.0
2.9,0,0,1,0,811.0
1.5,0,0,1,0,500.0
0.5,0,0,1,0,188.0
4.29,0,0,1,0,1169.0
5.56,0,0,1,0,1582.0
8.94,0,0,1,0,768.0
1.48,0,0,1,0,445.0
1.48,0,0,1,0,811.0
3.3,0,0,0,1,625.0
3.6,0,0,1,0,695.0
4.0,0,0,1,0,911.0
1.7,0,0,1,0,531.0
0.8,0,0,1,0,273.0
1.2,0,0,0,0,3718.0
2.62,0,0,1,0,843.0
2.28,0,0,1,0,623.0
14.34,0,0,0,1,1339.0
3.9,0,0,1,0,659.0
17.25,0,0,0,1,1668.0
15.47,0,0,0,1,1334.0
9.93,0,0,1,0,1313.0
19.59,0,0,0,1,1707.0
12.3,0,0,0,1,1280.0
7.93,0,0,0,1,1354.0
5.93,0,0,0,0,1190.0
1.23,0,0,1,0,528.0
16.59,0,0,1,0,1633.0
3.99,0,0,1,0,1016.0
1.95,0,0,1,0,445.0
1.6,0,0,1,0,546.0
2.69,0,0,1,0,841.0
2.31,0,0,1,0,756.0
2.14,0,0,1,0,688.0
6.5,0,0,1,0,869.0
0.92,0,0,0,0,222.0
2.28,0,0,1,0,605.0
20.9,0,0,1,0,3469.0
0.3,0,0,1,0,142.0
18.34,0,0,1,1,1809.0
3.3,0,0,1,0,714.0
1.43,0,0,1,0,498.0
5.58,0,0,1,0,1137.0
8.7,0,0,0,1,1192.0
9.32,0,0,1,1,1283.0
0.45,0,0,1,0,225.0
8.24,0,0,0,1,1096.0
20.57,0,0,0,1,2050.0
9.55,0,0,1,1,1508.0
2.25,0,0,1,0,668.0
2.0,0,0,1,0,481.0
5.11,0,0,1,0,924.0
5.02,0,0,1,0,831.0
8.16,0,0,1,0,1354.0
1.74,0,0,1,0,708.0
2.28,0,0,1,0,794.0
2.0,0,0,1,0,678.0
3.79,0,0,1,0,1182.0
8.47,0,0,1,0,1654.0
2.68,0,0,1,0,880.0
6.58,0,0,0,1,955.0
1.1,0,0,1,0,239.0
1.64,0,0,1,0,434.0
2.31,0,0,1,0,604.0
3.46,0,0,0,1,504.0
1.27,0,0,1,0,507.0
17.0,0,0,1,1,1441.0
3.92,0,0,1,0,1405.0
6.5,0,0,1,0,1933.0
15.4,0,0,1,1,1393.0
4.07,0,0,1,0,697.0
19.11,0,0,1,0,1726.0
12.35,0,0,1,0,1771.0
18.1,0,0,1,1,1743.0
15.54,0,0,0,1,1446.0
0.75,0,0,1,0,316.0
6.76,0,0,0,1,1111.0
17.4,0,0,1,1,1658.0
2.1,0,0,0,1,509.0
1.92,0,0,1,0,655.0
2.8,0,0,1,0,647.0
3.29,0,0,1,0,914.0
10.34,0,0,1,1,1215.0
45.5,0,0,0,1,3450.0
3.7,0,0,1,0,661.0
4.0,0,0,0,1,527.0
